,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
151,more,angry,horns,pouting,optionB,pouting
152,more,angry,horns,pouting,optionA,horns
153,more,angry,horns,pouting,optionB,pouting
154,more,angry,horns,pouting,optionA,horns
155,more,angry,horns,pouting,optionA,horns
156,more,angry,horns,pouting,optionB,pouting
157,more,angry,horns,pouting,optionA,horns
158,more,angry,horns,pouting,optionB,pouting
159,more,angry,horns,pouting,optionB,pouting
160,more,angry,horns,pouting,optionA,horns
161,more,angry,horns,pouting,optionA,horns
162,more,angry,horns,pouting,optionB,pouting
163,more,angry,horns,pouting,optionB,pouting
164,more,angry,horns,pouting,optionA,horns
165,more,angry,horns,steam,optionA,horns
166,more,angry,horns,steam,optionA,horns
167,more,angry,horns,steam,optionB,steam
168,more,angry,horns,steam,optionA,horns
169,more,angry,horns,steam,optionB,steam
170,more,angry,horns,steam,optionB,steam
171,more,angry,horns,steam,optionA,horns
172,more,angry,horns,steam,optionA,horns
173,more,angry,horns,steam,optionA,horns
174,more,angry,horns,steam,optionA,horns
175,more,angry,horns,steam,optionB,steam
176,more,angry,horns,steam,optionA,horns
177,more,angry,horns,steam,optionA,horns
178,more,angry,horns,steam,optionA,horns
179,more,angry,horns,steam,optionB,steam
