,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
138,less,afraid,astonished,scream,optionA,astonished
139,less,afraid,astonished,scream,optionA,astonished
140,less,afraid,astonished,scream,optionA,astonished
141,less,afraid,astonished,scream,optionA,astonished
142,less,afraid,astonished,scream,optionB,scream
143,less,afraid,astonished,scream,optionA,astonished
144,less,afraid,astonished,scream,optionA,astonished
145,less,afraid,astonished,scream,optionA,astonished
146,less,afraid,astonished,scream,optionA,astonished
147,less,afraid,astonished,scream,optionA,astonished
148,less,afraid,astonished,scream,optionA,astonished
149,less,afraid,astonished,scream,optionA,astonished
150,less,afraid,cat,sweat,optionB,sweat
151,less,afraid,cat,sweat,optionB,sweat
152,less,afraid,cat,sweat,optionA,cat
153,less,afraid,cat,sweat,optionB,sweat
154,less,afraid,cat,sweat,optionB,sweat
155,less,afraid,cat,sweat,optionB,sweat
156,less,afraid,cat,sweat,optionB,sweat
157,less,afraid,cat,sweat,optionB,sweat
158,less,afraid,cat,sweat,optionA,cat
159,less,afraid,cat,sweat,optionB,sweat
160,less,afraid,cat,sweat,optionB,sweat
161,less,afraid,cat,sweat,optionB,sweat
162,less,afraid,cat,sweat,optionA,cat
163,less,afraid,cat,sweat,optionA,cat
164,less,afraid,cat,sweat,optionB,sweat
165,less,afraid,cat,fearful,optionB,fearful
166,less,afraid,cat,fearful,optionB,fearful
167,less,afraid,cat,fearful,optionB,fearful
168,less,afraid,cat,fearful,optionB,fearful
169,less,afraid,cat,fearful,optionA,cat
170,less,afraid,cat,fearful,optionB,fearful
171,less,afraid,cat,fearful,optionB,fearful
172,less,afraid,cat,fearful,optionA,cat
173,less,afraid,cat,fearful,optionB,fearful
174,less,afraid,cat,fearful,optionB,fearful
175,less,afraid,cat,fearful,optionB,fearful
176,less,afraid,cat,fearful,optionB,fearful
177,less,afraid,cat,fearful,optionA,cat
178,less,afraid,cat,fearful,optionB,fearful
179,less,afraid,cat,fearful,optionB,fearful
180,less,afraid,sweat,cat,optionA,sweat
181,less,afraid,sweat,cat,optionA,sweat
182,less,afraid,sweat,cat,optionB,cat
183,less,afraid,sweat,cat,optionA,sweat
184,less,afraid,sweat,cat,optionA,sweat
185,less,afraid,sweat,cat,optionA,sweat
186,less,afraid,sweat,cat,optionA,sweat
187,less,afraid,sweat,cat,optionA,sweat
188,less,afraid,sweat,cat,optionA,sweat
189,less,afraid,sweat,cat,optionB,cat
190,less,afraid,sweat,cat,optionA,sweat
191,less,afraid,sweat,cat,optionA,sweat
192,less,afraid,sweat,cat,optionA,sweat
193,less,afraid,sweat,cat,optionA,sweat
194,less,afraid,sweat,cat,optionA,sweat
195,less,afraid,cat,astonished,optionB,astonished
196,less,afraid,cat,astonished,optionB,astonished
197,less,afraid,cat,astonished,optionB,astonished
198,less,afraid,cat,astonished,optionB,astonished
199,less,afraid,cat,astonished,optionB,astonished
200,less,afraid,cat,astonished,optionB,astonished
201,less,afraid,cat,astonished,optionA,cat
202,less,afraid,cat,astonished,optionB,astonished
203,less,afraid,cat,astonished,optionB,astonished
204,less,afraid,cat,astonished,optionB,astonished
205,less,afraid,cat,astonished,optionB,astonished
206,less,afraid,cat,astonished,optionB,astonished
207,less,afraid,cat,astonished,optionB,astonished
208,less,afraid,cat,astonished,optionB,astonished
209,less,afraid,cat,astonished,optionB,astonished
210,less,afraid,scream,cat,optionA,scream
211,less,afraid,scream,cat,optionA,scream
212,less,afraid,scream,cat,optionB,cat
213,less,afraid,scream,cat,optionA,scream
214,less,afraid,scream,cat,optionA,scream
215,less,afraid,scream,cat,optionA,scream
216,less,afraid,scream,cat,optionA,scream
217,less,afraid,scream,cat,optionB,cat
218,less,afraid,scream,cat,optionA,scream
219,less,afraid,scream,cat,optionB,cat
220,less,afraid,scream,cat,optionA,scream
221,less,afraid,scream,cat,optionB,cat
222,less,afraid,scream,cat,optionA,scream
223,less,afraid,scream,cat,optionB,cat
224,less,afraid,scream,cat,optionB,cat
225,less,afraid,sweat,scream,optionA,sweat
226,less,afraid,sweat,scream,optionA,sweat
227,less,afraid,sweat,scream,optionB,scream
228,less,afraid,sweat,scream,optionB,scream
229,less,afraid,sweat,scream,optionA,sweat
230,less,afraid,sweat,scream,optionB,scream
231,less,afraid,sweat,scream,optionA,sweat
232,less,afraid,sweat,scream,optionA,sweat
233,less,afraid,sweat,scream,optionA,sweat
234,less,afraid,sweat,scream,optionA,sweat
235,less,afraid,sweat,scream,optionB,scream
236,less,afraid,sweat,scream,optionA,sweat
237,less,afraid,sweat,scream,optionA,sweat
238,less,afraid,sweat,scream,optionA,sweat
239,less,afraid,sweat,scream,optionA,sweat
240,less,afraid,astonished,fearful,optionB,fearful
241,less,afraid,astonished,fearful,optionB,fearful
