,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8
angry,0,0,0,2,12,3,1,0
annoyed,4,4,7,0,1,0,0,0
irritated,1,6,5,3,1,1,0,0
enraged,0,0,1,0,0,2,5,10
infuriated,0,0,1,1,0,2,7,6
irked,10,3,2,1,2,0,0,0
mad,1,0,2,11,0,2,2,0
incensed,2,3,0,0,2,8,3,1
