emotion,emoji
angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png
angry,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png
angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_horns.png
angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png
