,Input.word,Input.emoji_1,Input.emoji_2,Input.emoji_3,Input.emoji_4,Answer.choice,answers
119,irritated,steam,pouting,horns,angry,optionA,steam
120,irritated,steam,pouting,horns,angry,optionA,steam
121,irritated,steam,pouting,horns,angry,optionD,angry
122,irritated,steam,pouting,horns,angry,optionD,angry
123,irritated,steam,pouting,horns,angry,optionD,angry
124,irritated,steam,pouting,horns,angry,optionD,angry
125,irritated,steam,pouting,horns,angry,optionD,angry
126,irritated,horns,pouting,angry,steam,optionD,steam
127,irritated,horns,pouting,angry,steam,optionB,pouting
128,irritated,horns,pouting,angry,steam,optionC,angry
129,irritated,horns,pouting,angry,steam,optionB,pouting
130,irritated,horns,pouting,angry,steam,optionA,horns
131,irritated,horns,pouting,angry,steam,optionA,horns
132,irritated,horns,pouting,angry,steam,optionB,pouting
133,irritated,horns,pouting,angry,steam,optionD,steam
134,irritated,horns,pouting,angry,steam,optionC,angry
135,enraged,angry,pouting,horns,steam,optionD,steam
136,enraged,angry,pouting,horns,steam,optionB,pouting
137,enraged,angry,pouting,horns,steam,optionC,horns
138,enraged,angry,pouting,horns,steam,optionB,pouting
139,enraged,angry,pouting,horns,steam,optionA,angry
140,enraged,angry,pouting,horns,steam,optionD,steam
141,enraged,angry,pouting,horns,steam,optionB,pouting
142,enraged,angry,pouting,horns,steam,optionA,angry
143,enraged,angry,pouting,horns,steam,optionD,steam
144,enraged,pouting,steam,angry,horns,optionC,angry
145,enraged,pouting,steam,angry,horns,optionA,pouting
146,enraged,pouting,steam,angry,horns,optionA,pouting
147,enraged,pouting,steam,angry,horns,optionC,angry
148,enraged,pouting,steam,angry,horns,optionC,angry
149,enraged,pouting,steam,angry,horns,optionA,pouting
150,enraged,pouting,steam,angry,horns,optionB,steam
151,enraged,pouting,steam,angry,horns,optionB,steam
152,enraged,pouting,steam,angry,horns,optionD,horns
153,enraged,steam,angry,pouting,horns,optionA,steam
154,enraged,steam,angry,pouting,horns,optionD,horns
155,enraged,steam,angry,pouting,horns,optionB,angry
156,enraged,steam,angry,pouting,horns,optionA,steam
157,enraged,steam,angry,pouting,horns,optionC,pouting
158,enraged,steam,angry,pouting,horns,optionD,horns
159,enraged,steam,angry,pouting,horns,optionB,angry
160,enraged,steam,angry,pouting,horns,optionC,pouting
161,enraged,steam,angry,pouting,horns,optionB,angry
162,enraged,steam,pouting,horns,angry,optionB,pouting
163,enraged,steam,pouting,horns,angry,optionD,angry
164,enraged,steam,pouting,horns,angry,optionB,pouting
165,enraged,steam,pouting,horns,angry,optionA,steam
166,enraged,steam,pouting,horns,angry,optionB,pouting
167,enraged,steam,pouting,horns,angry,optionA,steam
168,enraged,steam,pouting,horns,angry,optionA,steam
169,enraged,steam,pouting,horns,angry,optionC,horns
170,enraged,steam,pouting,horns,angry,optionD,angry
171,enraged,horns,pouting,angry,steam,optionC,angry
172,enraged,horns,pouting,angry,steam,optionA,horns
173,enraged,horns,pouting,angry,steam,optionD,steam
174,enraged,horns,pouting,angry,steam,optionB,pouting
175,enraged,horns,pouting,angry,steam,optionD,steam
176,enraged,horns,pouting,angry,steam,optionA,horns
177,enraged,horns,pouting,angry,steam,optionA,horns
178,enraged,horns,pouting,angry,steam,optionD,steam
179,enraged,horns,pouting,angry,steam,optionB,pouting
180,infuriated,angry,pouting,horns,steam,optionD,steam
181,infuriated,angry,pouting,horns,steam,optionD,steam
182,infuriated,angry,pouting,horns,steam,optionA,angry
183,infuriated,angry,pouting,horns,steam,optionD,steam
184,infuriated,angry,pouting,horns,steam,optionB,pouting
185,infuriated,angry,pouting,horns,steam,optionD,steam
186,infuriated,angry,pouting,horns,steam,optionD,steam
187,infuriated,angry,pouting,horns,steam,optionC,horns
188,infuriated,angry,pouting,horns,steam,optionA,angry
189,infuriated,pouting,steam,angry,horns,optionB,steam
190,infuriated,pouting,steam,angry,horns,optionA,pouting
191,infuriated,pouting,steam,angry,horns,optionA,pouting
192,infuriated,pouting,steam,angry,horns,optionA,pouting
193,infuriated,pouting,steam,angry,horns,optionB,steam
194,infuriated,pouting,steam,angry,horns,optionB,steam
195,infuriated,pouting,steam,angry,horns,optionC,angry
196,infuriated,pouting,steam,angry,horns,optionD,horns
197,infuriated,pouting,steam,angry,horns,optionD,horns
198,infuriated,steam,angry,pouting,horns,optionC,pouting
199,infuriated,steam,angry,pouting,horns,optionC,pouting
200,infuriated,steam,angry,pouting,horns,optionD,horns
201,infuriated,steam,angry,pouting,horns,optionA,steam
202,infuriated,steam,angry,pouting,horns,optionA,steam
203,infuriated,steam,angry,pouting,horns,optionD,horns
204,infuriated,steam,angry,pouting,horns,optionA,steam
205,infuriated,steam,angry,pouting,horns,optionC,pouting
206,infuriated,steam,angry,pouting,horns,optionA,steam
207,infuriated,steam,pouting,horns,angry,optionC,horns
208,infuriated,steam,pouting,horns,angry,optionC,horns
209,infuriated,steam,pouting,horns,angry,optionC,horns
210,infuriated,steam,pouting,horns,angry,optionA,steam
211,infuriated,steam,pouting,horns,angry,optionC,horns
212,infuriated,steam,pouting,horns,angry,optionA,steam
213,infuriated,steam,pouting,horns,angry,optionA,steam
214,infuriated,steam,pouting,horns,angry,optionB,pouting
215,infuriated,steam,pouting,horns,angry,optionA,steam
216,infuriated,horns,pouting,angry,steam,optionC,angry
217,infuriated,horns,pouting,angry,steam,optionA,horns
218,infuriated,horns,pouting,angry,steam,optionD,steam
219,infuriated,horns,pouting,angry,steam,optionD,steam
220,infuriated,horns,pouting,angry,steam,optionD,steam
221,infuriated,horns,pouting,angry,steam,optionA,horns
222,infuriated,horns,pouting,angry,steam,optionB,pouting
223,infuriated,horns,pouting,angry,steam,optionA,horns
224,infuriated,horns,pouting,angry,steam,optionB,pouting
225,irked,angry,pouting,horns,steam,optionB,pouting
226,irked,angry,pouting,horns,steam,optionA,angry
227,irked,angry,pouting,horns,steam,optionA,angry
228,irked,angry,pouting,horns,steam,optionD,steam
229,irked,angry,pouting,horns,steam,optionB,pouting
230,irked,angry,pouting,horns,steam,optionD,steam
231,irked,angry,pouting,horns,steam,optionB,pouting
232,irked,angry,pouting,horns,steam,optionC,horns
233,irked,angry,pouting,horns,steam,optionB,pouting
234,irked,pouting,steam,angry,horns,optionA,pouting
235,irked,pouting,steam,angry,horns,optionA,pouting
236,irked,pouting,steam,angry,horns,optionB,steam
237,irked,pouting,steam,angry,horns,optionB,steam
238,irked,pouting,steam,angry,horns,optionC,angry
239,irked,pouting,steam,angry,horns,optionA,pouting
240,irked,pouting,steam,angry,horns,optionB,steam
241,irked,pouting,steam,angry,horns,optionC,angry
242,irked,pouting,steam,angry,horns,optionC,angry
243,irked,steam,angry,pouting,horns,optionA,steam
244,irked,steam,angry,pouting,horns,optionA,steam
245,irked,steam,angry,pouting,horns,optionB,angry
246,irked,steam,angry,pouting,horns,optionA,steam
247,irked,steam,angry,pouting,horns,optionB,angry
248,irked,steam,angry,pouting,horns,optionB,angry
249,irked,steam,angry,pouting,horns,optionA,steam
250,irked,steam,angry,pouting,horns,optionB,angry
251,irked,steam,angry,pouting,horns,optionA,steam
252,irked,steam,pouting,horns,angry,optionD,angry
253,irked,steam,pouting,horns,angry,optionB,pouting
254,irked,steam,pouting,horns,angry,optionB,pouting
255,irked,steam,pouting,horns,angry,optionA,steam
256,irked,steam,pouting,horns,angry,optionB,pouting
257,irked,steam,pouting,horns,angry,optionD,angry
258,irked,steam,pouting,horns,angry,optionD,angry
259,irked,steam,pouting,horns,angry,optionA,steam
260,irked,steam,pouting,horns,angry,optionA,steam
261,irked,horns,pouting,angry,steam,optionC,angry
262,irked,horns,pouting,angry,steam,optionB,pouting
263,irked,horns,pouting,angry,steam,optionC,angry
264,irked,horns,pouting,angry,steam,optionC,angry
265,irked,horns,pouting,angry,steam,optionD,steam
266,irked,horns,pouting,angry,steam,optionC,angry
267,irked,horns,pouting,angry,steam,optionC,angry
268,irked,horns,pouting,angry,steam,optionA,horns
269,irked,horns,pouting,angry,steam,optionD,steam
270,mad,angry,pouting,horns,steam,optionB,pouting
271,mad,angry,pouting,horns,steam,optionC,horns
272,mad,angry,pouting,horns,steam,optionD,steam
273,mad,angry,pouting,horns,steam,optionC,horns
274,mad,angry,pouting,horns,steam,optionC,horns
275,mad,angry,pouting,horns,steam,optionD,steam
276,mad,angry,pouting,horns,steam,optionB,pouting
277,mad,angry,pouting,horns,steam,optionB,pouting
278,mad,angry,pouting,horns,steam,optionC,horns
279,mad,pouting,steam,angry,horns,optionA,pouting
280,mad,pouting,steam,angry,horns,optionD,horns
281,mad,pouting,steam,angry,horns,optionC,angry
282,mad,pouting,steam,angry,horns,optionA,pouting
283,mad,pouting,steam,angry,horns,optionB,steam
284,mad,pouting,steam,angry,horns,optionB,steam
285,mad,pouting,steam,angry,horns,optionB,steam
286,mad,pouting,steam,angry,horns,optionD,horns
287,mad,pouting,steam,angry,horns,optionB,steam
288,mad,steam,angry,pouting,horns,optionC,pouting
289,mad,steam,angry,pouting,horns,optionA,steam
290,mad,steam,angry,pouting,horns,optionC,pouting
291,mad,steam,angry,pouting,horns,optionC,pouting
292,mad,steam,angry,pouting,horns,optionD,horns
293,mad,steam,angry,pouting,horns,optionB,angry
294,mad,steam,angry,pouting,horns,optionD,horns
295,mad,steam,angry,pouting,horns,optionA,steam
296,mad,steam,angry,pouting,horns,optionD,horns
297,mad,steam,pouting,horns,angry,optionD,angry
298,mad,steam,pouting,horns,angry,optionB,pouting
299,mad,steam,pouting,horns,angry,optionA,steam
300,mad,steam,pouting,horns,angry,optionC,horns
301,mad,steam,pouting,horns,angry,optionB,pouting
302,mad,steam,pouting,horns,angry,optionD,angry
303,mad,steam,pouting,horns,angry,optionC,horns
304,mad,steam,pouting,horns,angry,optionA,steam
305,mad,steam,pouting,horns,angry,optionB,pouting
306,mad,horns,pouting,angry,steam,optionA,horns
307,mad,horns,pouting,angry,steam,optionB,pouting
308,mad,horns,pouting,angry,steam,optionA,horns
309,mad,horns,pouting,angry,steam,optionD,steam
310,mad,horns,pouting,angry,steam,optionD,steam
311,mad,horns,pouting,angry,steam,optionD,steam
312,mad,horns,pouting,angry,steam,optionC,angry
313,mad,horns,pouting,angry,steam,optionA,horns
314,mad,horns,pouting,angry,steam,optionA,horns
315,angry,angry,pouting,horns,steam,optionB,pouting
316,angry,pouting,steam,angry,horns,optionA,pouting
317,angry,steam,angry,pouting,horns,optionC,pouting
318,angry,steam,pouting,horns,angry,optionB,pouting
319,angry,horns,pouting,angry,steam,optionB,pouting
320,annoyed,angry,pouting,horns,steam,optionB,pouting
321,annoyed,pouting,steam,angry,horns,optionA,pouting
322,annoyed,steam,angry,pouting,horns,optionA,steam
323,annoyed,steam,pouting,horns,angry,optionD,angry
324,annoyed,horns,pouting,angry,steam,optionC,angry
325,irritated,angry,pouting,horns,steam,optionD,steam
326,irritated,pouting,steam,angry,horns,optionD,horns
327,irritated,steam,angry,pouting,horns,optionA,steam
328,irritated,steam,pouting,horns,angry,optionB,pouting
329,irritated,horns,pouting,angry,steam,optionA,horns
330,enraged,angry,pouting,horns,steam,optionC,horns
331,enraged,pouting,steam,angry,horns,optionA,pouting
332,enraged,steam,angry,pouting,horns,optionC,pouting
333,enraged,steam,pouting,horns,angry,optionB,pouting
334,enraged,horns,pouting,angry,steam,optionB,pouting
335,infuriated,angry,pouting,horns,steam,optionB,pouting
336,infuriated,pouting,steam,angry,horns,optionA,pouting
337,infuriated,steam,angry,pouting,horns,optionC,pouting
338,infuriated,steam,pouting,horns,angry,optionA,steam
339,infuriated,horns,pouting,angry,steam,optionB,pouting
340,irked,angry,pouting,horns,steam,optionD,steam
341,irked,pouting,steam,angry,horns,optionD,horns
342,irked,steam,angry,pouting,horns,optionD,horns
343,irked,steam,pouting,horns,angry,optionC,horns
344,irked,horns,pouting,angry,steam,optionD,steam
345,mad,angry,pouting,horns,steam,optionB,pouting
346,mad,pouting,steam,angry,horns,optionB,steam
347,mad,steam,angry,pouting,horns,optionC,pouting
348,mad,steam,pouting,horns,angry,optionA,steam
349,mad,horns,pouting,angry,steam,optionC,angry
